Date,IOZ.AX,OZF.AX,OZR.AX,QFN.AX,QHL.AX,QRE.AX,SLF.AX,STW.AX
2008-04-30,,,,,,,8.052839279174805,31.001779556274414
2008-05-01,,,,,,,7.934057235717773,30.949913024902344
2008-05-02,,,,,,,8.088676452636719,31.58209800720215
2008-05-05,,,,,,,8.0695161819458,31.749649047851562
2008-05-06,,,,,,,7.898612022399902,31.589656829833984
2008-05-07,,,,,,,7.804579257965088,31.41096305847168
2008-05-08,,,,,,,7.854803562164307,31.754981994628906
2008-05-09,,,,,,,7.789215087890625,32.02082443237305
2008-05-12,,,,,,,7.802582740783691,32.33586883544922
2008-05-13,,,,,,,7.718613147735596,32.2503547668457
2008-05-14,,,,,,,7.76918363571167,32.582618713378906
2008-05-15,,,,,,,7.829812526702881,32.68221664428711
2008-05-16,,,,,,,7.725811958312988,32.90283203125
