Date,EXH1.DE,EXV1.DE,EXV3.DE,EXV4.DE,EXV5.DE,EXV9.DE,EXX1.DE,^STOXX50E
2008-01-30,21.770668029785156,22.072004318237305,23.224803924560547,28.419092178344727,19.37129783630371,11.647451400756836,20.676822662353516,3789.31005859375
2008-01-31,21.867372512817383,21.755176544189453,23.577476501464844,28.57354164123535,19.212623596191406,11.573354721069336,20.333276748657227,3792.800048828125
2008-02-01,22.140426635742188,22.142410278320312,24.01616859436035,28.67393684387207,19.606138229370117,11.65485668182373,20.79909896850586,3867.469970703125
2008-02-04,22.316783905029297,22.189350128173828,24.145198822021484,28.550386428833008,19.834638595581055,11.691905975341797,20.694286346435547,3867.159912109375
2008-02-05,21.969778060913086,21.321016311645508,23.121583938598633,28.087034225463867,18.768329620361328,11.269577026367188,19.774290084838867,3717.080078125
2008-02-06,22.015281677246094,21.268211364746094,23.31941795349121,28.280088424682617,18.730247497558594,11.343668937683105,19.89656639099121,3760.1201171875
2008-02-07,21.708087921142578,20.91031837463379,22.70870018005371,27.708616256713867,18.241519927978516,11.165842056274414,19.640361785888672,3699.2900390625
2008-02-08,22.020967483520508,20.810577392578125,23.173194885253906,27.662275314331055,18.241519927978516,11.239937782287598,19.39579963684082,3701.169921875
2008-02-11,21.969778060913086,20.376419067382812,23.259214401245117,27.639114379882812,18.06380271911621,11.15843391418457,19.069725036621094,3678.159912109375
2008-02-12,22.70929718017578,21.162607192993164,24.06777572631836,28.141082763671875,18.9460506439209,11.447396278381348,19.750991821289062,3803.760009765625
2008-02-13,22.65241813659668,21.285810470581055,23.95595359802246,28.403642654418945,19.26340103149414,11.521492958068848,19.97808265686035,3803.2099609375
2008-02-14,22.914094924926758,21.098072052001953,23.861339569091797,28.31096839904785,19.066640853881836,11.521492958068848,19.914031982421875,3797.889892578125
2008-02-15,22.47606086730957,20.476150512695312,23.259214401245117,28.07158088684082,18.927003860473633,11.180662155151367,19.36668586730957,3719.280029296875
2008-02-18,22.936845779418945,20.98658561706543,23.775314331054688,28.349586486816406,19.428424835205078,11.351076126098633,19.727706909179688,3759.1201171875
2008-02-19,23.067689895629883,20.968992233276367,23.654891967773438,28.403642654418945,19.618831634521484,11.506675720214844,19.698593139648438,3805.27001953125
2008-02-20,22.823078155517578,20.78124237060547,23.448448181152344,28.087034225463867,19.409378051757812,11.388120651245117,19.48314094543457,3758.469970703125
2008-02-21,22.81739044189453,20.91031837463379,23.508657455444336,28.25691795349121,19.54901885986328,11.351076126098633,19.599597930908203,3778.2099609375
2008-02-22,22.81739044189453,20.746042251586914,23.21619987487793,28.171985626220703,19.053943634033203,11.151026725769043,19.32010269165039,3737.110107421875
2008-02-25,23.244043350219727,21.279939651489258,23.439842224121094,28.658496856689453,19.269750595092773,11.477036476135254,19.774290084838867,3798.989990234375
2008-02-26,23.36350440979004,21.884252548217773,23.809730529785156,28.851572036743164,19.790210723876953,11.573354721069336,20.280879974365234,3855.030029296875
2008-02-27,23.289552688598633,21.761045455932617,23.878541946411133,28.782066345214844,19.967927932739258,11.484442710876465,20.245929718017578,3856.68994140625
2008-02-28,22.942535400390625,21.29754638671875,23.37103271484375,28.37275505065918,19.58075523376465,11.254755020141602,19.89656639099121,3784.27001953125
2008-02-29,22.7889404296875,20.904457092285156,22.71729278564453,27.91714096069336,19.269750595092773,10.943564414978027,19.611248016357422,3724.5
2008-03-03,22.436248779296875,20.558292388916016,22.201194763183594,27.739500045776367,19.352252960205078,10.81019401550293,19.285171508789062,3675.510009765625
2008-03-04,22.185937881469727,20.182809829711914,21.36681365966797,27.37653923034668,18.67947006225586,10.780559539794922,18.924152374267578,3610.199951171875
2008-03-05,22.675172805786133,20.646297454833984,21.934534072875977,27.37653923034668,19.079330444335938,11.062111854553223,19.34921646118164,3684.5400390625
2008-03-06,22.35091781616211,20.094789505004883,21.40982437133789,27.07536506652832,18.812761306762695,10.787969589233398,18.807701110839844,3617.679931640625
2008-03-07,22.066476821899414,19.97745132446289,21.143171310424805,27.036746978759766,18.609643936157227,10.750921249389648,18.691238403320312,3576.679931640625
2008-03-10,22.015281677246094,19.731037139892578,20.876516342163086,26.666067123413086,18.374807357788086,10.484184265136719,18.417570114135742,3546.10009765625
2008-03-11,22.24281883239746,20.35881233215332,20.45503044128418,26.64289093017578,18.34942626953125,10.476778030395508,19.040607452392578,3606.590087890625
2008-03-12,22.356603622436523,20.857519149780273,20.7560977935791,26.781911849975586,18.628690719604492,10.62496280670166,19.477319717407227,3647.639892578125
2008-03-13,22.020967483520508,20.29427719116211,20.584054946899414,26.426666259765625,18.20978546142578,10.35081672668457,18.96491050720215,3599.580078125
2008-03-14,21.82754898071289,19.89531707763672,20.214181900024414,26.02509307861328,18.10188102722168,10.239678382873535,18.743650436401367,3566.590087890625
2008-03-17,20.75808334350586,18.704294204711914,19.32819175720215,25.523120880126953,17.619503021240234,9.721023559570312,17.870227813720703,3431.820068359375
2008-03-18,21.25867462158203,19.830780029296875,20.05074119567871,26.179550170898438,18.470014572143555,10.069266319274902,18.761117935180664,3558.659912109375
2008-03-19,20.94011688232422,19.824909210205078,19.293792724609375,26.1563777923584,18.730247497558594,9.950714111328125,18.720355987548828,3529.5400390625
2008-03-20,20.519149780273438,19.98918342590332,19.05294418334961,26.6506290435791,18.88257598876953,10.07667064666748,18.836809158325195,
2008-03-25,21.088022232055664,20.916181564331055,20.265790939331055,26.98268699645996,19.637874603271484,10.417502403259277,19.576309204101562,3632.590087890625
2008-03-26,21.133529663085938,20.616962432861328,20.179771423339844,26.426666259765625,19.58075523376465,10.328588485717773,19.413267135620117,3611.449951171875
2008-03-27,21.224550247192383,20.904457092285156,20.08515167236328,26.774181365966797,19.656917572021484,10.536053657531738,19.698593139648438,3652.110107421875
2008-03-28,21.04819679260254,20.792980194091797,20.188377380371094,26.751018524169922,19.644224166870117,10.484184265136719,19.721878051757812,3641.050048828125
2008-03-31,21.17904281616211,20.658037185668945,20.231382369995117,26.735570907592773,19.656917572021484,10.439732551574707,19.54719352722168,3628.06005859375
2008-04-01,21.40659523010254,21.78451919555664,21.298002243041992,27.48465919494629,20.02505111694336,10.92874526977539,20.502134323120117,3753.550048828125
2008-04-02,21.622758865356445,22.324289321899414,21.444236755371094,27.77039337158203,19.85367774963379,10.958383560180664,21.008729934692383,3797.89990234375
2008-04-03,21.873064041137695,21.919458389282227,21.37541389465332,27.585058212280273,19.669614791870117,10.773148536682129,20.670997619628906,3774.93994140625
2008-04-04,21.969778060913086,21.919458389282227,21.46143913269043,27.77039337158203,19.536327362060547,10.81019401550293,20.72340202331543,3795.199951171875
2008-04-07,22.271268844604492,22.20694923400879,21.848522186279297,27.631389617919922,19.66326904296875,10.936159133911133,21.03783416748047,3828.4599609375
2008-04-08,22.185937881469727,22.007463455200195,21.435630798339844,27.13715171813965,19.485546112060547,10.691646575927734,20.89226531982422,3810.510009765625
2008-04-09,22.4589900970459,21.714115142822266,21.194780349731445,26.72785186767578,19.422075271606445,10.587916374206543,20.618600845336914,3775.929931640625
2008-04-10,22.623977661132812,21.508766174316406,21.082962036132812,26.751018524169922,19.307830810546875,10.587916374206543,20.403152465820312,3758.050048828125
2008-04-11,22.345226287841797,21.22714614868164,20.764692306518555,26.202716827392578,19.142807006835938,10.536053657531738,20.17023468017578,3699.989990234375
2008-04-14,22.316783905029297,20.968992233276367,20.541046142578125,25.87837028503418,18.812761306762695,10.476778030395508,19.966442108154297,3671.280029296875
2008-04-15,22.40779685974121,20.76363754272461,20.394817352294922,25.82430076599121,18.749292373657227,10.395273208618164,19.838336944580078,3690.75
2008-04-16,22.806001663208008,21.221277236938477,21.10016441345215,26.001930236816406,19.041250228881836,10.632372856140137,20.21681785583496,3748.56005859375
2008-04-17,22.74343490600586,21.250608444213867,19.775489807128906,25.608081817626953,19.14915657043457,10.76574420928955,20.28668975830078,3725.22998046875
2008-04-18,23.158706665039062,22.013330459594727,20.15396499633789,26.24132537841797,19.510934829711914,11.0695219039917,21.002901077270508,3808.590087890625
2008-04-21,23.170089721679688,21.59677505493164,19.99053192138672,26.31083106994629,19.24435806274414,10.869467735290527,20.75251579284668,3769.889892578125
2008-04-22,23.272483825683594,21.397289276123047,19.913118362426758,26.233604431152344,19.20627212524414,10.639779090881348,20.5894775390625,3736.1201171875
2008-04-23,23.57967185974121,21.285810470581055,20.36040687561035,26.57340431213379,19.26340103149414,10.565690994262695,20.50796127319336,3763.550048828125
2008-04-24,23.357812881469727,21.426624298095703,20.308801651000977,26.874582290649414,19.26340103149414,10.573097229003906,20.641883850097656,3761.9599609375
2008-04-25,23.642253875732422,21.790380477905273,21.022747039794922,27.23754119873047,19.72673797607422,10.906515121459961,20.886438369750977,3794.389892578125
2008-04-28,23.767391204833984,22.013330459594727,21.20339012145996,27.206647872924805,19.85367774963379,10.980607032775879,21.066944122314453,3814.760009765625
2008-04-29,24.250940322875977,21.831451416015625,21.35820960998535,26.920913696289062,19.637874603271484,10.83983325958252,20.985431671142578,3793.6298828125
2008-04-30,24.22249984741211,21.931196212768555,21.67647933959961,27.214380264282227,19.542673110961914,11.010249137878418,21.136829376220703,3825.02001953125
2008-05-02,24.501239776611328,22.635242462158203,21.65927505493164,27.507827758789062,19.986968994140625,11.328848838806152,21.713285446166992,3877.5
2008-05-05,24.467105865478516,22.54724884033203,21.427034378051758,27.36882972717285,19.999658584594727,11.284391403198242,21.660873413085938,3872.14990234375
2008-05-06,24.72879981994629,22.289085388183594,21.32381248474121,27.09853172302246,19.891759872436523,11.232528686523438,21.43379020690918,3845.080078125
2008-05-07,24.956340789794922,22.40056610107422,21.943138122558594,27.168046951293945,20.3297119140625,11.506675720214844,21.532773971557617,3871.780029296875
2008-05-08,24.91651725769043,22.142410278320312,21.788305282592773,27.214380264282227,20.418563842773438,11.462213516235352,21.305681228637695,3855.860107421875
2008-05-09,24.58656883239746,21.77864646911621,21.633472442626953,26.81279182434082,20.19007110595703,11.306615829467773,20.991256713867188,3801.590087890625
2008-05-12,24.836868286132812,21.77864646911621,21.573259353637695,26.735570907592773,20.24085235595703,11.343668937683105,20.93302345275879,
2008-05-13,24.60932731628418,21.690643310546875,21.693679809570312,26.81279182434082,20.310672760009766,11.239937782287598,20.886438369750977,3817.070068359375
2008-05-14,24.933576583862305,21.696516036987305,21.925928115844727,26.88231086730957,20.405872344970703,11.14361572265625,21.11935806274414,3857.4599609375
2008-05-15,25.0758056640625,21.690643310546875,21.925928115844727,27.191207885742188,20.405872344970703,11.106568336486816,21.13100242614746,3854.860107421875
2008-05-16,25.559349060058594,21.631975173950195,22.175382614135742,27.46149253845215,20.72323226928711,11.21030044555664,21.12517738342285,3862.909912109375
2008-05-19,26.133899688720703,21.614377975463867,22.743099212646484,27.870800018310547,20.919986724853516,11.284391403198242,21.101886749267578,3882.280029296875
2008-05-20,25.701555252075195,21.262344360351562,22.183988571166992,27.62367057800293,20.463001251220703,10.936159133911133,20.740869522094727,3822.31005859375
2008-05-21,26.35576057434082,20.81644058227539,21.882923126220703,27.46921157836914,19.891759872436523,10.684236526489258,20.37986183166504,3794.1298828125
2008-05-22,26.3330078125,20.8809871673584,22.020559310913086,27.500106811523438,19.866371154785156,10.721283912658691,20.403152465820312,3793.030029296875
2008-05-23,25.747066497802734,20.616962432861328,21.56465721130371,27.160316467285156,19.422075271606445,10.580507278442383,20.112009048461914,3725.820068359375
2008-05-26,25.64467430114746,20.523094177246094,21.487239837646484,27.029029846191406,19.231660842895508,10.580507278442383,20.059602737426758,3724.89990234375
