DATE,IR3TIB01DEM156N
1969-04-01,4.4
1969-05-01,4.38
1969-06-01,5.5
1969-07-01,5.78
1969-08-01,6.5
1969-09-01,6.94
1969-10-01,7.42
1969-11-01,7.69
1969-12-01,8.83
1970-01-01,9.29
1970-02-01,9.51
1970-03-01,9.81
1970-04-01,9.86
1970-05-01,9.93
1970-06-01,9.88
1970-07-01,9.590000000000002
1970-08-01,9.16
1970-09-01,9.36
1970-10-01,9.53
1970-11-01,8.84
1970-12-01,8.12
1971-01-01,7.5
1971-02-01,7.47
1971-03-01,7.46
1971-04-01,6.36
1971-05-01,6.16
1971-06-01,6.8
1971-07-01,7.66
1971-08-01,7.559999999999999
1971-09-01,7.59
1971-10-01,7.8
1971-11-01,6.79
1971-12-01,6.63
1972-01-01,5.19
1972-02-01,4.88
1972-03-01,4.8
1972-04-01,4.78
1972-05-01,4.71
1972-06-01,4.65
1972-07-01,4.65
1972-08-01,4.8
1972-09-01,5.32
1972-10-01,6.88
1972-11-01,8.07
1972-12-01,8.599999999999998
1973-01-01,7.889999999999999
1973-02-01,7.96
1973-03-01,8.769999999999998
1973-04-01,10.62
1973-05-01,12.42
1973-06-01,13.62
1973-07-01,14.3
1973-08-01,14.57
1973-09-01,14.25
1973-10-01,14.49
1973-11-01,13.62
1973-12-01,13.2
1974-01-01,12.09
1974-02-01,10.67
1974-03-01,11.2
1974-04-01,10.07
1974-05-01,9.1
1974-06-01,9.46
1974-07-01,9.48
1974-08-01,9.65
1974-09-01,9.69
1974-10-01,9.78
1974-11-01,9.04
1974-12-01,8.599999999999998
1975-01-01,7.74
1975-02-01,6.43
1975-03-01,5.71
1975-04-01,4.89
1975-05-01,4.99
1975-06-01,4.88
1975-07-01,4.66
1975-08-01,3.88
1975-09-01,3.93
1975-10-01,4.07
1975-11-01,4.12
1975-12-01,4.21
1976-01-01,3.93
1976-02-01,3.72
1976-03-01,3.74
1976-04-01,3.62
1976-05-01,3.77
1976-06-01,4.14
1976-07-01,4.47
1976-08-01,4.56
1976-09-01,4.56
1976-10-01,4.85
1976-11-01,4.69
1976-12-01,4.93
1977-01-01,4.78
1977-02-01,4.71
1977-03-01,4.73
1977-04-01,4.62
1977-05-01,4.44
1977-06-01,4.28
1977-07-01,4.29
1977-08-01,4.12
1977-09-01,4.15
1977-10-01,4.13
1977-11-01,4.15
1977-12-01,3.98
1978-01-01,3.58
1978-02-01,3.46
1978-03-01,3.51
1978-04-01,3.56
1978-05-01,3.6
1978-06-01,3.68
1978-07-01,3.75
1978-08-01,3.7
1978-09-01,3.7
1978-10-01,3.95
1978-11-01,3.85
1978-12-01,4.06
1979-01-01,3.89
1979-02-01,4.15
1979-03-01,4.47
1979-04-01,5.54
1979-05-01,5.92
1979-06-01,6.46
1979-07-01,6.84
1979-08-01,7.09
1979-09-01,7.889999999999999
1979-10-01,8.76
1979-11-01,9.65
1979-12-01,9.58
1980-01-01,8.859999999999998
1980-02-01,8.97
1980-03-01,9.64
1980-04-01,10.22
1980-05-01,10.26
1980-06-01,10.11
1980-07-01,9.7
1980-08-01,8.98
1980-09-01,8.97
1980-10-01,9.08
1980-11-01,9.45
1980-12-01,10.2
1981-01-01,9.47
1981-02-01,10.67
1981-03-01,13.6
1981-04-01,13.19
1981-05-01,13.2
1981-06-01,13.09
1981-07-01,12.96
1981-08-01,12.9
1981-09-01,12.5
1981-10-01,11.78
1981-11-01,11.08
1981-12-01,10.82
1982-01-01,10.46
1982-02-01,10.27
1982-03-01,9.87
1982-04-01,9.33
1982-05-01,9.18
1982-06-01,9.28
1982-07-01,9.46
1982-08-01,9.0
1982-09-01,8.179999999999998
1982-10-01,7.58
1982-11-01,7.309999999999999
1982-12-01,6.62
1983-01-01,5.82
1983-02-01,5.83
1983-03-01,5.45
1983-04-01,5.2
1983-05-01,5.33
1983-06-01,5.57
1983-07-01,5.57
1983-08-01,5.71
1983-09-01,5.88
1983-10-01,6.18
1983-11-01,6.3
1983-12-01,6.48
1984-01-01,6.12
1984-02-01,5.95
1984-03-01,5.86
1984-04-01,5.84
1984-05-01,6.1
1984-06-01,6.13
1984-07-01,6.13
1984-08-01,6.02
1984-09-01,5.82
1984-10-01,6.07
1984-11-01,5.96
1984-12-01,5.83
1985-01-01,5.87
1985-02-01,6.16
1985-03-01,6.39
1985-04-01,6.02
1985-05-01,5.84
1985-06-01,5.68
1985-07-01,5.34
1985-08-01,4.79
1985-09-01,4.71
1985-10-01,4.84
1985-11-01,4.88
1985-12-01,4.86
1986-01-01,4.72
1986-02-01,4.54
1986-03-01,4.56
1986-04-01,4.53
1986-05-01,4.62
1986-06-01,4.65
1986-07-01,4.65
1986-08-01,4.61
1986-09-01,4.53
1986-10-01,4.64
1986-11-01,4.73
1986-12-01,4.84
1987-01-01,4.54
1987-02-01,4.03
1987-03-01,4.04
1987-04-01,3.91
1987-05-01,3.81
1987-06-01,3.73
1987-07-01,3.86
1987-08-01,4.0
1987-09-01,4.04
1987-10-01,4.74
1987-11-01,3.98
1987-12-01,3.71
1988-01-01,3.46
1988-02-01,3.37
1988-03-01,3.44
1988-04-01,3.43
1988-05-01,3.58
1988-06-01,3.93
1988-07-01,4.93
1988-08-01,5.37
1988-09-01,5.02
1988-10-01,5.1
1988-11-01,4.95
1988-12-01,5.39
1989-01-01,5.7
1989-02-01,6.43
1989-03-01,6.67
1989-04-01,6.48
1989-05-01,7.02
1989-06-01,7.02
1989-07-01,7.09
1989-08-01,7.07
1989-09-01,7.41
1989-10-01,8.13
1989-11-01,8.29
1989-12-01,8.109999999999998
1990-01-01,8.3
1990-02-01,8.31
1990-03-01,8.48
1990-04-01,8.269999999999998
1990-05-01,8.33
1990-06-01,8.3
1990-07-01,8.26
1990-08-01,8.449999999999998
1990-09-01,8.47
1990-10-01,8.599999999999998
1990-11-01,8.88
1990-12-01,9.21
1991-01-01,9.35
1991-02-01,9.08
1991-03-01,9.090000000000002
1991-04-01,9.18
1991-05-01,9.08
1991-06-01,9.06
1991-07-01,9.15
1991-08-01,9.31
1991-09-01,9.27
1991-10-01,9.38
1991-11-01,9.43
1991-12-01,9.58
1992-01-01,9.53
1992-02-01,9.61
1992-03-01,9.7
1992-04-01,9.75
1992-05-01,9.79
1992-06-01,9.75
1992-07-01,9.78
1992-08-01,9.88
1992-09-01,9.5
1992-10-01,8.939999999999998
1992-11-01,8.939999999999998
1992-12-01,9.04
1993-01-01,8.59
1993-02-01,8.4
1993-03-01,7.98
1993-04-01,7.92
1993-05-01,7.51
1993-06-01,7.599999999999999
1993-07-01,7.24
1993-08-01,6.61
1993-09-01,6.63
1993-10-01,6.640000000000001
1993-11-01,6.3100000000000005
1993-12-01,6.11
1994-01-01,5.89
1994-02-01,5.91
1994-03-01,5.84
1994-04-01,5.59
1994-05-01,5.2
1994-06-01,5.07
1994-07-01,4.97
1994-08-01,5.0
1994-09-01,5.07
1994-10-01,5.22
1994-11-01,5.21
1994-12-01,5.4
1995-01-01,5.16
1995-02-01,5.1000000000000005
1995-03-01,5.07
1995-04-01,4.68
1995-05-01,4.59
1995-06-01,4.53
1995-07-01,4.5600000000000005
1995-08-01,4.46
1995-09-01,4.19
1995-10-01,4.09
1995-11-01,4.01
1995-12-01,3.94
1996-01-01,3.61
1996-02-01,3.35
1996-03-01,3.36
1996-04-01,3.33
1996-05-01,3.29
1996-06-01,3.39
1996-07-01,3.38
1996-08-01,3.29
1996-09-01,3.12
1996-10-01,3.12
1996-11-01,3.19
1996-12-01,3.23
1997-01-01,3.14
1997-02-01,3.19
1997-03-01,3.26
1997-04-01,3.23
1997-05-01,3.17
1997-06-01,3.14
1997-07-01,3.14
1997-08-01,3.26
1997-09-01,3.31
1997-10-01,3.58
1997-11-01,3.74
1997-12-01,3.74
1998-01-01,3.5700000000000003
1998-02-01,3.51
1998-03-01,3.52
1998-04-01,3.63
1998-05-01,3.63
1998-06-01,3.56
1998-07-01,3.54
1998-08-01,3.5
1998-09-01,3.49
1998-10-01,3.5700000000000003
1998-11-01,3.63
1998-12-01,3.38
1999-01-01,3.1321
1999-02-01,3.0934
1999-03-01,3.04669565217391
1999-04-01,2.69645454545455
1999-05-01,2.57895238095238
1999-06-01,2.62668181818182
1999-07-01,2.67645454545455
1999-08-01,2.69504545454545
1999-09-01,2.72668181818182
1999-10-01,3.37566666666667
1999-11-01,3.46768181818182
1999-12-01,3.44604545454545
2000-01-01,3.3431429
2000-02-01,3.5367619
2000-03-01,3.7470435
2000-04-01,3.9252778
2000-05-01,4.3620455
2000-06-01,4.5017273
2000-07-01,4.5829048
2000-08-01,4.777087
2000-09-01,4.8528095
2000-10-01,5.0412727
2000-11-01,5.0919545
2000-12-01,4.9391579
2001-01-01,4.7707273
2001-02-01,4.7558
2001-03-01,4.7086364
2001-04-01,4.682
2001-05-01,4.6366818
2001-06-01,4.4535714
2001-07-01,4.4671364
2001-08-01,4.3535217
2001-09-01,3.98285
2001-10-01,3.5998696
2001-11-01,3.3856818
2001-12-01,3.3448889
2002-01-01,3.3387727
2002-02-01,3.3571
2002-03-01,3.3908
2002-04-01,3.4069048
2002-05-01,3.4671364
2002-06-01,3.464
2002-07-01,3.41
2002-08-01,3.3519091
2002-09-01,3.3101429
2002-10-01,3.2612609
2002-11-01,3.1241429
2002-12-01,2.94105
2003-01-01,2.8318182
2003-02-01,2.68745
2003-03-01,2.5299524
2003-04-01,2.53335
2003-05-01,2.4005238
2003-06-01,2.1518571
2003-07-01,2.1300435
2003-08-01,2.1404286
2003-09-01,2.1473182
2003-10-01,2.1435652
2003-11-01,2.15905
2003-12-01,2.1463333
2004-01-01,2.0894762
2004-02-01,2.07055
2004-03-01,2.0288261
2004-04-01,2.04875
2004-05-01,2.0858571
2004-06-01,2.1126818
2004-07-01,2.1160455
2004-08-01,2.1142727
2004-09-01,2.1185909
2004-10-01,2.1473333
2004-11-01,2.1703182
2004-12-01,2.1731739
2005-01-01,2.1454286
2005-02-01,2.13835
2005-03-01,2.1371905
2005-04-01,2.1372381
2005-05-01,2.1256364
2005-06-01,2.1110455
2005-07-01,2.1194286
2005-08-01,2.1324783
2005-09-01,2.1391364
2005-10-01,2.196619
2005-11-01,2.3608636
2005-12-01,2.4728571
2006-01-01,2.5116818
2006-02-01,2.60035
2006-03-01,2.7226087
2006-04-01,2.7937778
2006-05-01,2.889
2006-06-01,2.9856818
2006-07-01,3.1021905
2006-08-01,3.2264783
2006-09-01,3.335381
2006-10-01,3.502
2006-11-01,3.5971818
2006-12-01,3.6842105
2007-01-01,3.7518636
2007-02-01,3.8182
2007-03-01,3.8909091
2007-04-01,3.9752632
2007-05-01,4.0713636
2007-06-01,4.1477619
2007-07-01,4.2161818
2007-08-01,4.5436087
2007-09-01,4.7417
2007-10-01,4.6873913
2007-11-01,4.6385455
2007-12-01,4.8483684
2008-01-01,4.4815455
2008-02-01,4.3620952
2008-03-01,4.5963684
2008-04-01,4.7835
2008-05-01,4.857381
2008-06-01,4.9405238
2008-07-01,4.961
2008-08-01,4.9651905
2008-09-01,5.0191818
2008-10-01,5.113087
2008-11-01,4.2383
2008-12-01,3.292619
2009-01-01,2.4565238
2009-02-01,1.94305
2009-03-01,1.6354545
2009-04-01,1.4223
2009-05-01,1.2817
2009-06-01,1.2279091
2009-07-01,0.9749565
2009-08-01,0.8604762
2009-09-01,0.7720909
2009-10-01,0.7375
2009-11-01,0.7161905
2009-12-01,0.7120455
2010-01-01,0.67975
2010-02-01,0.6617
2010-03-01,0.6449565
2010-04-01,0.6447
2010-05-01,0.6865238
2010-06-01,0.7275909
2010-07-01,0.8488182
2010-08-01,0.8955
2010-09-01,0.8805
2010-10-01,0.9976667
2010-11-01,1.0420455
2010-12-01,1.0216957
2011-01-01,1.0172381
2011-02-01,1.08675
2011-03-01,1.1755217
2011-04-01,1.3212105
2011-05-01,1.4250909
2011-06-01,1.4885909
2011-07-01,1.597619
2011-08-01,1.552087
2011-09-01,1.5364545
2011-10-01,1.5758571
2011-11-01,1.4846818
2011-12-01,1.4260952
2012-01-01,1.2222273
2012-02-01,1.0482857
2012-03-01,0.8584545
2012-04-01,0.7443158
2012-05-01,0.6849091
2012-06-01,0.6588571
2012-07-01,0.4970455
2012-08-01,0.3323913
2012-09-01,0.2463
2012-10-01,0.207913
2012-11-01,0.192
2012-12-01,0.1854737
2013-01-01,0.2049091
2013-02-01,0.22335
2013-03-01,0.20605
2013-04-01,0.2089048
2013-05-01,0.2012273
2013-06-01,0.21025
2013-07-01,0.2214348
2013-08-01,0.2258636
2013-09-01,0.2232381
2013-10-01,0.2258261
2013-11-01,0.223381
2013-12-01,0.2735
2014-01-01,0.2920455
2014-02-01,0.2881
2014-03-01,0.3053333
2014-04-01,0.32975
2014-05-01,0.3245714
2014-06-01,0.2414286
2014-07-01,0.2050435
2014-08-01,0.1915714
2014-09-01,0.0970909
2014-10-01,0.0826087
2014-11-01,0.0809
2014-12-01,0.0809048
2015-01-01,0.0626667
2015-02-01,0.0482
2015-03-01,0.0271818
2015-04-01,0.0047
2015-05-01,-0.0103684
2015-06-01,-0.0139091
2015-07-01,-0.0187391
2015-08-01,-0.0276667
2015-09-01,-0.0370455
2015-10-01,-0.0535909
2015-11-01,-0.087619
2015-12-01,-0.1263182
2016-01-01,-0.14615
2016-02-01,-0.1835714
2016-03-01,-0.2285238
2016-04-01,-0.2491905
2016-05-01,-0.2571818
2016-06-01,-0.2679091
2016-07-01,-0.2945238
2016-08-01,-0.2982174
2016-09-01,-0.3016364
2016-10-01,-0.309
2016-11-01,-0.3126818
2016-12-01,-0.3157619
2017-01-01,-0.3255455
2017-02-01,-0.3286
2017-03-01,-0.3293478
2017-04-01,-0.3303889
2017-05-01,-0.3294545
2017-06-01,-0.33
2017-07-01,-0.3304286
2017-08-01,-0.329087
2017-09-01,-0.329381
2017-10-01,-0.3295455
2017-11-01,-0.329
2017-12-01,-0.3278947
2018-01-01,-0.3284545
2018-02-01,-0.3285
2018-03-01,-0.3279048
2018-04-01,-0.32845
2018-05-01,-0.3252273
2018-06-01,-0.3220476
2018-07-01,-0.3207273
2018-08-01,-0.319
2018-09-01,-0.31885
2018-10-01,-0.3176957
2018-11-01,-0.3163636
2018-12-01,-0.3118947
2019-01-01,-0.308
2019-02-01,-0.30845
2019-03-01,-0.3091905
2019-04-01,-0.31045
2019-05-01,-0.3118636
2019-06-01,-0.3289
2019-07-01,-0.3648696
2019-08-01,-0.4076818
2019-09-01,-0.4175714
2019-10-01,-0.4128696
2019-11-01,-0.4012857
2019-12-01,-0.3947
2020-01-01,-0.3911364
2020-02-01,-0.40885
2020-03-01,-0.4166364
2020-04-01,-0.25405
2020-05-01,-0.27195
2020-06-01,-0.376
2020-07-01,-0.4441304
2020-08-01,-0.4797143
2020-09-01,-0.4913636
2020-10-01,-0.5091364
2020-11-01,-0.5208571
2020-12-01,-0.5380909
2021-01-01,-0.54715
2021-02-01,-0.5411
2021-03-01,-0.539087
2021-04-01,-0.53815
2021-05-01,-0.5400952
2021-06-01,-0.5429091
2021-07-01,-0.5448182
2021-08-01,-0.5475909
2021-09-01,-0.5450455
2021-10-01,-0.5498095
2021-11-01,-0.5673636
2021-12-01,-0.5819565
2022-01-01,-0.5601429
2022-02-01,-0.5315
2022-03-01,-0.4954348
2022-04-01,-0.4478947
2022-05-01,-0.3857273
2022-06-01,-0.2392273
2022-07-01,0.036619
2022-08-01,0.3947391
2022-09-01,1.0108636
2022-10-01,1.4276667
2022-11-01,1.8252273
2022-12-01,2.0634762
2023-01-01,2.3448636
2023-02-01,2.64035
2023-03-01,2.9105652
2023-04-01,3.1794444
2023-05-01,3.3717273
2023-06-01,3.5358636
2023-07-01,3.6718095
2023-08-01,3.7803043
2023-09-01,3.8800476
2023-10-01,3.9676364
2023-11-01,3.9716364
2023-12-01,3.9348947
2024-01-01,3.9252727
2024-02-01,3.9231905
2024-03-01,3.9231
2024-04-01,3.8853333
2024-05-01,3.8126818
2024-06-01,3.7245
2024-07-01,3.6848261
2024-08-01,3.5475909
2024-09-01,3.4337143
2024-10-01,3.1666087
2024-11-01,3.0067619
2024-12-01,2.8246
2025-01-01,2.7042727
2025-02-01,2.52495
2025-03-01,2.4424286
2025-04-01,2.2494
2025-05-01,2.0872381
2025-06-01,1.983619
2025-07-01,1.9863478
2025-08-01,2.0210952
2025-09-01,2.0272727
2025-10-01,2.0344348
2025-11-01,2.04165
2025-12-01,2.0484286
2026-01-01,2.0277273
2026-02-01,2.0113
