Date,CHIE,CHII,CHIQ,CNYA,FXI,GXC,KWEB,MCHI
2010-06-25,9.05079174041748,10.999589920043945,13.638737678527832,,28.283227920532227,50.20806884765625,,
2010-06-28,8.990764617919922,11.007533073425293,13.551460266113281,,28.132131576538086,49.943477630615234,,
2010-06-29,8.623930931091309,10.599140167236328,12.877059936523438,,26.99887466430664,47.76954650878906,,
2010-06-30,8.703967094421387,10.615032196044922,12.916733741760254,,26.87525177001953,47.740936279296875,,
2010-07-01,8.617260932922363,10.527631759643555,12.964337348937988,,27.046953201293945,47.99122619628906,,
2010-07-02,8.644272804260254,10.503796577453613,12.845327377319336,,26.799699783325195,47.69803237915039,,
2010-07-06,8.757326126098633,10.78188419342041,12.900863647460938,,27.307947158813477,48.277278900146484,,
2010-07-07,8.917398452758789,10.869284629821777,13.194425582885742,,27.500263214111328,49.02813720703125,,
2010-07-08,8.844030380249023,10.904244422912598,13.321372032165527,,27.438440322875977,49.07820129394531,,
2010-07-09,9.03872013092041,11.2109375,13.503857612609863,,27.939815521240234,49.857669830322266,,
2010-07-12,8.985427856445312,11.298336029052734,13.48798942565918,,27.795591354370117,49.700347900390625,,
2010-07-13,9.077469825744629,11.338062286376953,13.591130256652832,,28.063453674316406,50.165164947509766,,
2010-07-14,9.077469825744629,11.239062309265137,13.511791229248047,,27.802459716796875,49.85051727294922,,
2010-07-15,8.74398422241211,11.0758638381958,13.345175743103027,,27.37663459777832,49.2784309387207,,
2010-07-16,8.650677680969238,10.845447540283203,13.035743713378906,,26.607397079467773,47.99122619628906,,
2010-07-19,8.741318702697754,10.905834197998047,13.178557395935059,,26.83403968811035,48.427459716796875,,
2010-07-20,9.017508506774902,11.385655403137207,13.567326545715332,,27.568937301635742,49.764713287353516,,
2010-07-21,9.056593894958496,11.330118179321289,13.472118377685547,,27.48651885986328,49.43575668334961,,
2010-07-22,9.304241180419922,11.679712295532227,13.599066734313965,,28.242019653320312,50.830223083496094,,
2010-07-23,9.325651168823242,11.841797828674316,13.718077659606934,,28.475540161132812,51.223533630371094,,
2010-07-26,9.325651168823242,11.76711368560791,13.662540435791016,,28.413719177246094,51.23783493041992,,
2010-07-27,9.31757926940918,11.759167671203613,13.543526649475098,,28.276357650756836,50.95178985595703,,
2010-07-28,9.284165382385254,11.856101989746094,13.599066734313965,,28.283227920532227,51.016136169433594,,
2010-07-29,9.190788269042969,11.911718368530273,13.654603004455566,,28.221420288085938,51.00183868408203,,
2010-07-30,9.248214721679688,12.068957328796387,13.757746696472168,,28.324443817138672,51.259300231933594,,
2010-08-02,9.437634468078613,12.323288917541504,14.075113296508789,,29.11427879333496,52.55364227294922,,
2010-08-03,9.484322547912598,12.204108238220215,14.059240341186523,,28.832685470581055,52.474971771240234,,
2010-08-04,9.422294616699219,12.24383544921875,14.067173957824707,,28.94257164001465,52.539344787597656,,
2010-08-05,9.436767578125,12.143725395202637,14.162385940551758,,28.86702537536621,52.474971771240234,,
2010-08-06,9.404287338256836,12.006110191345215,14.067173957824707,,28.812084197998047,52.34624099731445,,
2010-08-09,9.464310646057129,12.250191688537598,14.122715950012207,,28.997522354125977,52.69666290283203,,
2010-08-10,9.297572135925293,11.983226776123047,13.829154014587402,,28.36564826965332,51.759864807128906,,
2010-08-11,9.050323486328125,11.664618492126465,13.606999397277832,,27.5758056640625,50.30820083618164,,
2010-08-12,9.037452697753906,11.585957527160645,13.519723892211914,,27.47965431213379,50.093650817871094,,
2010-08-13,9.030782699584961,11.712288856506348,13.718077659606934,,27.507123947143555,50.46551513671875,,
2010-08-16,9.110819816589355,11.798895835876465,13.860891342163086,,27.816186904907227,50.8516845703125,,
2010-08-17,9.25755500793457,11.96574878692627,14.011639595031738,,28.049713134765625,51.30935287475586,,
2010-08-18,9.183518409729004,11.937145233154297,14.194125175476074,,27.960426330566406,51.10912322998047,,
2010-08-19,9.170846939086914,11.933966636657715,14.09097957611084,,27.774982452392578,50.8516845703125,,
2010-08-20,9.110819816589355,11.873581886291504,14.130651473999023,,27.843666076660156,51.00183868408203,,
2010-08-23,9.130828857421875,11.790948867797852,13.987837791442871,,27.459041595458984,50.40114212036133,,
2010-08-24,9.01144027709961,11.700372695922852,13.940234184265137,,27.1843204498291,49.86481857299805,,
2010-08-25,8.984094619750977,11.587546348571777,13.892629623413086,,27.163713455200195,49.693199157714844,,
2010-08-26,8.991830825805664,11.496970176696777,13.821220397949219,,26.937068939208984,49.3427848815918,,
2010-08-27,9.110819816589355,11.687578201293945,13.995771408081055,,27.452177047729492,50.179466247558594,,
2010-08-30,9.130828857421875,11.625683784484863,13.987837791442871,,27.033214569091797,49.700347900390625,,
2010-08-31,9.11322021484375,11.639986991882324,14.194125175476074,,26.985145568847656,49.736106872558594,,
2010-09-01,9.330918312072754,12.100818634033203,14.630498886108398,,27.6788272857666,51.05191421508789,,
2010-09-02,9.410954475402832,12.180273056030273,14.630498886108398,,27.960426330566406,51.32365417480469,,
2010-09-03,9.444305419921875,12.331233978271484,14.7891845703125,,28.12526512145996,51.631141662597656,,
2010-09-07,9.431631088256836,12.402743339538574,14.686041831970215,,27.843666076660156,51.273590087890625,,
2010-09-08,9.504332542419434,12.466306686401367,14.971667289733887,,27.967294692993164,51.68120574951172,,
2010-09-09,9.671008110046387,12.64102554321289,15.043072700500488,,28.097789764404297,51.852840423583984,,
2010-09-10,9.564358711242676,12.599787712097168,14.971667289733887,,28.015378952026367,51.809932708740234,,
2010-09-13,9.751108169555664,12.760204315185547,15.304898262023926,,28.798343658447266,53.104278564453125,,
2010-09-14,9.851090431213379,12.844507217407227,15.304898262023926,,28.91510009765625,53.376014709472656,,
2010-09-15,9.784459114074707,12.75393009185791,15.201752662658691,,28.72966766357422,53.11143493652344,,
2010-09-16,9.771120071411133,12.725327491760254,15.066876411437988,,28.564821243286133,52.803924560546875,,
2010-09-17,9.811138153076172,12.911249160766602,15.233489990234375,,28.818954467773438,53.032779693603516,,
2010-09-20,9.924522399902344,13.006669998168945,15.574657440185547,,29.176097869873047,53.81938552856445,,
2010-09-21,9.924522399902344,13.117827415466309,15.630197525024414,,29.155492782592773,53.76218795776367,,
2010-09-22,9.891107559204102,13.065388679504395,15.66987133026123,,28.99065589904785,53.647762298583984,,
2010-09-23,9.804468154907227,12.990621566772461,15.574657440185547,,28.770872116088867,53.46183776855469,,
2010-09-24,10.039443016052246,13.252898216247559,15.7888765335083,,29.430219650268555,54.527366638183594,,
2010-09-27,10.064922332763672,13.279913902282715,15.820611953735352,,29.279123306274414,54.427249908447266,,
2010-09-28,10.064922332763672,13.268792152404785,15.868220329284668,,29.182968139648438,54.37003707885742,,
2010-09-29,10.211320877075195,13.268792152404785,15.947561264038086,,29.340940475463867,54.66322708129883,,
2010-09-30,10.324640274047852,13.403779983520508,16.16971778869629,,29.40961456298828,54.520206451416016,,
2010-10-01,10.351385116577148,13.508183479309082,16.328397750854492,,29.60192108154297,54.985042572021484,,
2010-10-04,10.464768409729004,13.530987739562988,16.352201461791992,,29.773635864257812,55.09228515625,,
2010-10-05,10.694806098937988,13.721678733825684,16.38393783569336,,30.405500411987305,56.22931671142578,,
2010-10-06,10.644854545593262,13.618385314941406,16.272859573364258,,30.384899139404297,56.13636016845703,,
2010-10-07,10.558145523071289,13.42770004272461,15.987232208251953,,30.123912811279297,55.678688049316406,,
2010-10-08,10.604833602905273,13.411808967590332,16.225255966186523,,30.494796752929688,56.29368591308594,,
2010-10-11,10.86495304107666,13.380025863647461,16.17765235900879,,30.783252716064453,56.572566986083984,,
2010-10-12,10.811525344848633,13.364134788513184,16.11417579650879,,30.687097549438477,56.42240524291992,,
2010-10-13,11.038363456726074,13.872638702392578,16.399810791015625,,31.415138244628906,57.73822021484375,,
2010-10-14,10.9783353805542,13.920312881469727,16.225255966186523,,31.511280059814453,57.731056213378906,,
2010-10-15,10.938318252563477,14.166539192199707,16.082443237304688,,31.73106575012207,58.01710510253906,,
2010-10-18,10.971667289733887,14.214288711547852,16.14591407775879,,31.820363998413086,58.71076202392578,,
2010-10-19,10.644854545593262,13.904419898986816,15.693673133850098,,31.071720123291016,56.88009262084961,,
2010-10-20,10.77277660369873,14.007711410522461,16.05864143371582,,31.71732521057129,57.57374572753906,,
2010-10-21,10.608834266662598,14.007711410522461,16.15384864807129,,31.689857482910156,57.72391128540039,,
2010-10-22,10.564748764038086,14.007711410522461,16.352201461791992,,31.36703872680664,57.3878059387207,,
2010-10-25,10.90096664428711,14.217151641845703,16.685436248779297,,31.744800567626953,58.353206634521484,,
2010-10-26,10.858283996582031,13.944149017333984,16.606096267700195,,31.710464477539062,58.203041076660156,,
2010-10-27,10.491447448730469,13.515097618103027,16.17765235900879,,30.961835861206055,56.90152359008789,,
2010-10-28,10.618172645568848,13.570714950561523,16.02690315246582,,30.982433319091797,56.987361907958984,,
2010-10-29,10.518193244934082,13.650246620178223,16.296659469604492,,30.886281967163086,57.15898132324219,,
2010-11-01,10.676199913024902,13.826558113098145,16.447412490844727,,31.20222282409668,57.67385482788086,,
2010-11-02,10.83160400390625,14.198402404785156,16.518815994262695,,31.600568771362305,58.531978607177734,,
2010-11-03,11.00501537322998,14.293665885925293,16.685436248779297,,32.273651123046875,59.61895751953125,,
2010-11-04,11.217378616333008,14.627449035644531,16.796510696411133,,32.88491439819336,60.59867858886719,,
2010-11-05,11.311821937561035,14.547998428344727,16.740970611572266,,32.8505744934082,60.49140548706055,,
2010-11-08,11.318490982055664,14.4844331741333,16.788578033447266,,32.919254302978516,60.64870834350586,,
2010-11-09,11.138411521911621,14.214288711547852,16.50295066833496,,32.21870803833008,59.65471267700195,,
2010-11-10,11.159285545349121,14.42087173461914,16.629892349243164,,32.44536209106445,59.92646408081055,,
2010-11-11,11.211774826049805,14.30097484588623,16.62196159362793,,32.5895881652832,60.012271881103516,,
2010-11-12,10.878289222717285,13.840858459472656,16.185585021972656,,31.607437133789062,58.28169631958008,,
2010-11-15,10.724889755249023,13.68989372253418,16.042770385742188,,31.195348739624023,57.65956115722656,,
2010-11-16,10.424751281738281,13.387971878051758,15.519116401672363,,30.29560661315918,55.92183303833008,,
2010-11-17,10.207718849182129,13.268792152404785,15.281099319458008,,30.329954147338867,55.72159194946289,,
2010-11-18,10.398072242736816,13.642224311828613,15.677801132202148,,30.975563049316406,56.94445037841797,,
2010-11-19,10.338042259216309,13.515097618103027,15.622265815734863,,30.673364639282227,56.644100189208984,,
2010-11-22,10.366724014282227,13.443588256835938,15.7333402633667,,30.549741744995117,56.5654182434082,,
