DATE,JPNLOLITONOSTSAM
1980-09-01,98.61793
1980-10-01,98.70561
1980-11-01,98.87011
1980-12-01,99.09954
1981-01-01,99.36217
1981-02-01,99.63013
1981-03-01,99.87138
1981-04-01,100.0747
1981-05-01,100.2223
1981-06-01,100.3141
1981-07-01,100.3659
1981-08-01,100.4123
1981-09-01,100.465
1981-10-01,100.5297
1981-11-01,100.5938
1981-12-01,100.6308
1982-01-01,100.621
1982-02-01,100.5643
1982-03-01,100.469
1982-04-01,100.357
1982-05-01,100.2597
1982-06-01,100.1794
1982-07-01,100.1134
1982-08-01,100.0606
1982-09-01,100.0039
1982-10-01,99.93323
1982-11-01,99.84167
1982-12-01,99.73019
1983-01-01,99.61565
1983-02-01,99.48619
1983-03-01,99.39304
1983-04-01,99.35879
1983-05-01,99.38287
1983-06-01,99.45287
1983-07-01,99.52913
1983-08-01,99.61788
1983-09-01,99.70774
1983-10-01,99.78687
1983-11-01,99.83878
1983-12-01,99.85076
1984-01-01,99.82567
1984-02-01,99.77459
1984-03-01,99.71065
1984-04-01,99.63183
1984-05-01,99.52579
1984-06-01,99.38054
1984-07-01,99.22799
1984-08-01,99.08143
1984-09-01,98.96611
1984-10-01,98.94264
1984-11-01,99.04021
1984-12-01,99.26144
1985-01-01,99.55995
1985-02-01,99.82328
1985-03-01,100.0232
1985-04-01,100.1064
1985-05-01,100.0585
1985-06-01,99.90102
1985-07-01,99.67625
1985-08-01,99.42638
1985-09-01,99.18919
1985-10-01,98.97641
1985-11-01,98.7909
1985-12-01,98.65877
1986-01-01,98.5911
1986-02-01,98.58038
1986-03-01,98.61383
1986-04-01,98.68847
1986-05-01,98.78017
1986-06-01,98.87149
1986-07-01,98.95335
1986-08-01,99.01211
1986-09-01,99.04594
1986-10-01,99.06149
1986-11-01,99.08694
1986-12-01,99.15271
1987-01-01,99.25983
1987-02-01,99.42167
1987-03-01,99.66663
1987-04-01,100.005
1987-05-01,100.4105
1987-06-01,100.8318
1987-07-01,101.2141
1987-08-01,101.5192
1987-09-01,101.7291
1987-10-01,101.8517
1987-11-01,101.9142
1987-12-01,101.9293
1988-01-01,101.9313
1988-02-01,101.929
1988-03-01,101.909
1988-04-01,101.8824
1988-05-01,101.862
1988-06-01,101.8264
1988-07-01,101.7516
1988-08-01,101.6462
1988-09-01,101.5268
1988-10-01,101.4363
1988-11-01,101.4102
1988-12-01,101.4445
1989-01-01,101.5202
1989-02-01,101.611
1989-03-01,101.6758
1989-04-01,101.6618
1989-05-01,101.5871
1989-06-01,101.4899
1989-07-01,101.4031
1989-08-01,101.3538
1989-09-01,101.3466
1989-10-01,101.3839
1989-11-01,101.4552
1989-12-01,101.5469
1990-01-01,101.633
1990-02-01,101.6983
1990-03-01,101.7376
1990-04-01,101.751
1990-05-01,101.7373
1990-06-01,101.6967
1990-07-01,101.6219
1990-08-01,101.5016
1990-09-01,101.3309
1990-10-01,101.1051
1990-11-01,100.8469
1990-12-01,100.5912
1991-01-01,100.3481
1991-02-01,100.132
1991-03-01,99.94147
1991-04-01,99.76909
1991-05-01,99.61335
1991-06-01,99.45585
1991-07-01,99.30657
1991-08-01,99.17102
1991-09-01,99.06297
1991-10-01,98.96908
1991-11-01,98.87404
1991-12-01,98.77267
1992-01-01,98.66942
1992-02-01,98.56267
1992-03-01,98.46004
1992-04-01,98.36082
1992-05-01,98.26136
1992-06-01,98.16701
1992-07-01,98.06912
1992-08-01,97.97056
1992-09-01,97.88102
1992-10-01,97.81229
1992-11-01,97.78094
1992-12-01,97.8021
1993-01-01,97.88126
1993-02-01,98.01047
1993-03-01,98.17619
1993-04-01,98.34602
1993-05-01,98.49957
1993-06-01,98.61536
1993-07-01,98.69122
1993-08-01,98.73624
1993-09-01,98.74516
1993-10-01,98.74691
1993-11-01,98.78182
1993-12-01,98.88247
1994-01-01,99.07103
1994-02-01,99.31821
1994-03-01,99.60102
1994-04-01,99.89935
1994-05-01,100.1876
1994-06-01,100.4452
1994-07-01,100.6487
1994-08-01,100.7962
1994-09-01,100.8751
1994-10-01,100.9034
1994-11-01,100.8838
1994-12-01,100.8145
1995-01-01,100.6982
1995-02-01,100.5398
1995-03-01,100.3666
1995-04-01,100.2138
1995-05-01,100.1013
1995-06-01,100.0692
1995-07-01,100.1415
1995-08-01,100.3013
1995-09-01,100.5266
1995-10-01,100.7956
1995-11-01,101.0696
1995-12-01,101.3201
1996-01-01,101.5254
1996-02-01,101.6812
1996-03-01,101.801
1996-04-01,101.9161
1996-05-01,102.0084
1996-06-01,102.0786
1996-07-01,102.1373
1996-08-01,102.1609
1996-09-01,102.1536
1996-10-01,102.103
1996-11-01,102.0007
1996-12-01,101.8659
1997-01-01,101.7081
1997-02-01,101.5433
1997-03-01,101.3757
1997-04-01,101.2105
1997-05-01,101.04
1997-06-01,100.8403
1997-07-01,100.594
1997-08-01,100.2983
1997-09-01,99.96362
1997-10-01,99.59961
1997-11-01,99.2374
1997-12-01,98.90557
1998-01-01,98.60493
1998-02-01,98.32914
1998-03-01,98.07941
1998-04-01,97.86523
1998-05-01,97.69331
1998-06-01,97.56441
1998-07-01,97.47378
1998-08-01,97.42713
1998-09-01,97.43423
1998-10-01,97.51698
1998-11-01,97.68765
1998-12-01,97.94318
1999-01-01,98.26847
1999-02-01,98.63139
1999-03-01,98.98993
1999-04-01,99.33068
1999-05-01,99.63592
1999-06-01,99.91241
1999-07-01,100.1587
1999-08-01,100.3753
1999-09-01,100.5629
1999-10-01,100.7335
1999-11-01,100.8952
1999-12-01,101.0442
2000-01-01,101.1811
2000-02-01,101.2768
2000-03-01,101.3248
2000-04-01,101.3278
2000-05-01,101.2894
2000-06-01,101.2281
2000-07-01,101.1425
2000-08-01,101.0458
2000-09-01,100.9416
2000-10-01,100.8251
2000-11-01,100.6905
2000-12-01,100.5338
2001-01-01,100.3427
2001-02-01,100.1452
2001-03-01,99.94844
2001-04-01,99.74659
2001-05-01,99.54507
2001-06-01,99.33704
2001-07-01,99.13774
2001-08-01,98.95284
2001-09-01,98.79642
2001-10-01,98.69062
2001-11-01,98.64582
2001-12-01,98.6674
2002-01-01,98.75742
2002-02-01,98.90327
2002-03-01,99.06747
2002-04-01,99.22495
2002-05-01,99.34928
2002-06-01,99.41749
2002-07-01,99.44091
2002-08-01,99.43114
2002-09-01,99.3989
2002-10-01,99.35979
2002-11-01,99.33324
2002-12-01,99.33118
2003-01-01,99.35557
2003-02-01,99.40095
2003-03-01,99.46198
2003-04-01,99.5447
2003-05-01,99.65149
2003-06-01,99.77617
2003-07-01,99.90935
2003-08-01,100.0534
2003-09-01,100.2001
2003-10-01,100.3221
2003-11-01,100.4136
2003-12-01,100.4809
2004-01-01,100.5344
2004-02-01,100.5795
2004-03-01,100.6284
2004-04-01,100.6741
2004-05-01,100.7204
2004-06-01,100.7636
2004-07-01,100.783
2004-08-01,100.7698
2004-09-01,100.7416
2004-10-01,100.7019
2004-11-01,100.6628
2004-12-01,100.6304
2005-01-01,100.6016
2005-02-01,100.5653
2005-03-01,100.5325
2005-04-01,100.5145
2005-05-01,100.5235
2005-06-01,100.5663
2005-07-01,100.6425
2005-08-01,100.7411
2005-09-01,100.8588
2005-10-01,100.9923
2005-11-01,101.1253
2005-12-01,101.252
2006-01-01,101.368
2006-02-01,101.4596
2006-03-01,101.5156
2006-04-01,101.533
2006-05-01,101.4967
2006-06-01,101.4357
2006-07-01,101.3791
2006-08-01,101.3445
2006-09-01,101.3316
2006-10-01,101.3368
2006-11-01,101.3551
2006-12-01,101.3823
2007-01-01,101.4019
2007-02-01,101.4044
2007-03-01,101.3595
2007-04-01,101.2601
2007-05-01,101.1048
2007-06-01,100.9031
2007-07-01,100.6885
2007-08-01,100.5031
2007-09-01,100.3871
2007-10-01,100.3547
2007-11-01,100.3909
2007-12-01,100.4675
2008-01-01,100.5535
2008-02-01,100.6335
2008-03-01,100.6846
2008-04-01,100.6959
2008-05-01,100.6282
2008-06-01,100.4515
2008-07-01,100.1541
2008-08-01,99.74203
2008-09-01,99.22974
2008-10-01,98.64439
2008-11-01,98.03757
2008-12-01,97.47389
2009-01-01,97.021
2009-02-01,96.74361
2009-03-01,96.67034
2009-04-01,96.7815
2009-05-01,97.0275
2009-06-01,97.35297
2009-07-01,97.70706
2009-08-01,98.05621
2009-09-01,98.39297
2009-10-01,98.70526
2009-11-01,98.9955
2009-12-01,99.25979
2010-01-01,99.48828
2010-02-01,99.6711
2010-03-01,99.81058
2010-04-01,99.9045
2010-05-01,99.95276
2010-06-01,99.97272
2010-07-01,99.97754
2010-08-01,99.97952
2010-09-01,99.98177
2010-10-01,100.0032
2010-11-01,100.0566
2010-12-01,100.1219
2011-01-01,100.1731
2011-02-01,100.1839
2011-03-01,100.1595
2011-04-01,100.1155
2011-05-01,100.0609
2011-06-01,100.0184
2011-07-01,99.98171
2011-08-01,99.93371
2011-09-01,99.88636
2011-10-01,99.87038
2011-11-01,99.87653
2011-12-01,99.89455
2012-01-01,99.91601
2012-02-01,99.92007
2012-03-01,99.89967
2012-04-01,99.85095
2012-05-01,99.7782
2012-06-01,99.68909
2012-07-01,99.59686
2012-08-01,99.5104
2012-09-01,99.4402
2012-10-01,99.40388
2012-11-01,99.41759
2012-12-01,99.49574
2013-01-01,99.6328
2013-02-01,99.82948
2013-03-01,100.0578
2013-04-01,100.2935
2013-05-01,100.5129
2013-06-01,100.7016
2013-07-01,100.8685
2013-08-01,101.0187
2013-09-01,101.1547
2013-10-01,101.2602
2013-11-01,101.3217
2013-12-01,101.318
2014-01-01,101.2388
2014-02-01,101.0925
2014-03-01,100.9037
2014-04-01,100.6764
2014-05-01,100.4588
2014-06-01,100.2832
2014-07-01,100.1527
2014-08-01,100.0682
2014-09-01,100.0222
2014-10-01,100.0067
2014-11-01,100.0234
2014-12-01,100.059
2015-01-01,100.1157
2015-02-01,100.1901
2015-03-01,100.2658
2015-04-01,100.3418
2015-05-01,100.3995
2015-06-01,100.421
2015-07-01,100.392
2015-08-01,100.326
2015-09-01,100.2303
2015-10-01,100.1215
2015-11-01,100.0134
2015-12-01,99.9167
2016-01-01,99.84539
2016-02-01,99.79587
2016-03-01,99.75788
2016-04-01,99.73204
2016-05-01,99.71615
2016-06-01,99.71838
2016-07-01,99.74297
2016-08-01,99.78663
2016-09-01,99.85554
2016-10-01,99.94787
2016-11-01,100.0472
2016-12-01,100.1461
2017-01-01,100.2321
2017-02-01,100.3043
2017-03-01,100.385
2017-04-01,100.4624
2017-05-01,100.523
2017-06-01,100.5649
2017-07-01,100.585
2017-08-01,100.5884
2017-09-01,100.5859
2017-10-01,100.583
2017-11-01,100.5824
2017-12-01,100.576
2018-01-01,100.5644
2018-02-01,100.5658
2018-03-01,100.5653
2018-04-01,100.5756
2018-05-01,100.5866
2018-06-01,100.5826
2018-07-01,100.5674
2018-08-01,100.5466
2018-09-01,100.5206
2018-10-01,100.4784
2018-11-01,100.4148
2018-12-01,100.3335
2019-01-01,100.2523
2019-02-01,100.1845
2019-03-01,100.1283
2019-04-01,100.0738
2019-05-01,100.0154
2019-06-01,99.94221
2019-07-01,99.85781
2019-08-01,99.75948
2019-09-01,99.64703
2019-10-01,99.51146
2019-11-01,99.35807
2019-12-01,99.18215
2020-01-01,98.97241
2020-02-01,98.73473
2020-03-01,98.20744
2020-04-01,97.69557
2020-05-01,97.29474
2020-06-01,97.47076
2020-07-01,98.05213
2020-08-01,98.43314
2020-09-01,98.70078
2020-10-01,98.94138
2020-11-01,99.18755
2020-12-01,99.42772
2021-01-01,99.67135
2021-02-01,99.91705
2021-03-01,100.152
2021-04-01,100.359
2021-05-01,100.513
2021-06-01,100.6028
2021-07-01,100.6326
2021-08-01,100.6202
2021-09-01,100.5893
2021-10-01,100.5574
2021-11-01,100.5383
2021-12-01,100.5295
2022-01-01,100.5235
2022-02-01,100.511
2022-03-01,100.4976
2022-04-01,100.484
2022-05-01,100.4625
2022-06-01,100.4307
2022-07-01,100.386
2022-08-01,100.3275
2022-09-01,100.2504
2022-10-01,100.1659
2022-11-01,100.079
2022-12-01,100.01
2023-01-01,99.96635
2023-02-01,99.94936
2023-03-01,99.95546
2023-04-01,99.97155
2023-05-01,99.99653
2023-06-01,100.0219
2023-07-01,100.045
2023-08-01,100.0642
2023-09-01,100.0683
2023-10-01,100.053
2023-11-01,100.0263
2023-12-01,100.0039
2024-01-01,99.99614
