Date,1615.T,1617.T,1618.T,1619.T,1620.T,1621.T,1622.T,1623.T,1624.T,1625.T
2008-06-11,201.57290649414062,13662.623046875,13000.740234375,10282.38671875,11989.458984375,10436.65625,11820.5810546875,23339.517578125,20232.853515625,13480.0419921875
2008-06-12,197.9276580810547,13493.2568359375,12824.486328125,10080.1064453125,11757.7900390625,10238.603515625,11561.5390625,22329.84375,19698.134765625,13174.9384765625
2008-06-13,199.9410858154297,13599.7783203125,12978.0859375,10115.521484375,11782.9052734375,10225.4443359375,11760.4794921875,22649.279296875,19796.849609375,13281.5478515625
2008-06-16,205.02728271484375,13781.6982421875,12699.3642578125,10254.8291015625,11944.2978515625,10426.6181640625,11981.5107421875,23363.48046875,20370.509765625,13603.970703125
2008-06-17,205.87612915039062,13749.8896484375,12788.9814453125,10299.3017578125,11950.0009765625,10447.880859375,11847.9560546875,23095.85546875,20365.4140625,13593.404296875
2008-06-18,206.41563415527344,13729.6318359375,12941.759765625,10403.958984375,11993.8955078125,10501.333984375,12012.33984375,23094.28515625,20574.859375,13728.1591796875
2008-06-19,198.8685760498047,13547.5546875,12825.75,10141.6201171875,11711.517578125,10285.142578125,11617.4384765625,22494.46484375,20130.798828125,13455.0126953125
2008-06-20,195.3088836669922,13296.62109375,12572.3447265625,9907.6640625,11581.421875,10222.173828125,11493.37109375,22327.671875,19678.20703125,13272.28125
2008-06-23,192.0979766845703,13372.7958984375,12578.29296875,9856.79296875,11505.8359375,10185.7451171875,11328.853515625,22232.349609375,19743.9140625,13276.005859375
2008-06-24,192.42697143554688,13528.224609375,12550.509765625,9929.4560546875,11488.880859375,10103.0751953125,11307.509765625,21916.1875,19683.380859375,13236.0791015625
2008-06-25,189.42654418945312,13576.4375,12638.1015625,9970.8876953125,11579.125,10264.623046875,11277.8974609375,21645.296875,19545.498046875,13157.96484375
2008-06-26,189.5581512451172,13572.125,12464.1201171875,9957.330078125,11493.4765625,10429.294921875,11224.70703125,21454.841796875,19402.974609375,13156.404296875
2008-06-27,184.48509216308594,13464.064453125,12233.6904296875,9739.783203125,11381.6025390625,10182.6962890625,11008.4208984375,21100.126953125,18881.79296875,12843.5947265625
2008-06-30,183.82054138183594,13610.095703125,12751.26171875,9711.083984375,11388.4169921875,10230.9443359375,10872.29296875,21526.314453125,18689.228515625,12682.2529296875
2008-07-01,182.17556762695312,13658.8525390625,13041.5009765625,9644.3115234375,11400.3828125,10354.5791015625,10861.3828125,21240.83984375,18493.544921875,12618.9453125
2008-07-02,178.49746704101562,13409.9970703125,12831.6982421875,9457.4873046875,11250.08203125,10393.38671875,10658.1064453125,21043.5390625,17891.9765625,12448.337890625
